build_id,timestamp,pipeline_id,commit_id,project_type,project_type_name,repo_size_mb,is_monorepo,branch,branch_type,build_type,environment,files_changed,lines_added,lines_deleted,source_files_pct,deps_file_changed,dependency_count,test_files_changed,has_build_stage,has_unit_tests,has_integration_tests,has_e2e_tests,has_deploy_stage,has_docker_build,uses_emulator,parallel_stages,stages_count,has_artifact_publish,is_first_build,cache_available,is_clean_build,time_of_day_hour,memory_gb,cpu_avg_pct,build_time_min,status
build-0001,2024-01-01T08:38:00,pipe-cf446,03428959ba231eb2e1ee431f4c302f8d6dc18dd9,1,java,527.5,1,release/v1.0.8,4,1,1,35,869,163,0.77,0,56,13,1,1,0,0,1,0,0,1,3,1,0,1,1,8,6.52,76.2,61.0,failed
build-0002,2024-01-01T14:38:00,pipe-b0d11,51f2654235c00d816130e3d2909f8bcd7bae1e33,0,python,486.8,0,feature/perf,0,0,2,7,394,83,0.79,0,46,1,1,1,0,0,0,0,0,1,2,0,0,1,0,14,1.53,58.1,10.1,failed
build-0003,2024-01-01T08:25:00,pipe-0c7f8,a9fdb4e9cbf68565da7632070ffbb40fbe621622,0,python,195.9,0,release/v2.2.14,4,1,2,37,740,167,0.79,0,62,10,1,1,1,0,1,0,0,1,4,0,0,1,1,8,3.24,61.5,50.9,skipped
build-0004,2024-01-01T09:32:00,pipe-cc761,5887c1c4a72db817433e7d015060cfe0bc7c3d1b,0,python,54.5,1,feature/api,0,0,1,1,92,41,0.84,0,45,0,1,1,0,0,0,1,0,2,2,0,0,0,0,9,5.16,54.7,91.2,running
build-0005,2024-01-01T11:55:00,pipe-6b312,3816bbbf69cdf39f4b4fcc2db450dd9944fe0913,2,nodejs,411.1,0,feature/db,0,0,0,20,250,30,0.9,0,112,5,1,1,1,0,0,0,0,2,3,0,1,0,0,11,2.55,66.6,54.9,running
build-0006,2024-01-01T04:13:00,pipe-258ba,3e51c6a27562f67916e4e49eaaa3327c4202701d,3,react-native,2100.6,0,feature/mobile,0,0,1,1,95,33,0.6,0,243,0,1,1,0,1,0,0,1,1,3,0,0,1,0,4,10.57,79.8,105.2,failed
build-0007,2024-01-01T20:35:00,pipe-30765,50decaad7a6849cc130399a475d362135c0801bf,2,nodejs,202.0,0,feature/cache,0,0,0,22,824,366,0.61,1,145,6,1,1,1,0,0,0,0,1,3,0,0,0,0,20,2.84,48.7,44.5,success
build-0008,2024-01-01T11:32:00,pipe-e80ec,6845c096d04860b3ad93f635124250ccbd30fa15,4,android,4848.1,0,feature/mobile,0,0,0,5,89,34,0.57,0,128,1,1,1,1,1,1,0,1,2,5,1,0,0,0,11,18.51,93.5,107.8,failed
build-0009,2024-01-01T09:36:00,pipe-f7d02,5e50ef0bdea87de280a364d359d1917fbfecfac2,0,python,258.8,0,develop,1,1,0,14,690,266,0.61,0,55,3,1,1,1,0,0,0,0,1,3,1,0,1,0,9,2.95,76.3,13.4,success
build-0010,2024-01-01T08:16:00,pipe-a6fa1,a3ed71bdf2ae36a820899c7f4a93c6532830e61f,3,react-native,484.1,0,feature/ui,0,0,1,2,38,5,0.55,0,172,0,1,1,1,1,0,0,1,1,4,0,0,1,0,8,15.74,79.1,117.7,failed
